Name;ISIN;Ticker;Market Index;Earliest Data;Latest Data
BNP Paribas B Pension Sustainable Growth;BE0946411791;;Active fund;September 2006;November 2024
Argenta Pension Fund Defensive;BE6208865897;;Active fund;November 2010;November 2024
KBC Equity Fund World;BE6213775529;;Active fund;March 2005;September 2024
DPAM B - Active Strategy B;BE6227496963;;Active fund;November 2011;September 2024
Belfius Pension Fund Balanced Plus;BE6242862397;;Active fund;December 2012;November 2024
Crelan Pension Fund Sustainable Balanced;BE6280093228;;Active fund;November 2015;November 2024
Crelan Pension Fund Sustainable Growth;BE6280095249;;Active fund;November 2015;November 2024
Crelan Pension Fund Sustainable Stability;BE6280097260;;Active fund;November 2015;November 2024
Horizon - KBC Highly Dynamic Comfort Portfolio Shares Cap;BE6292610266;;Active fund;March 2017;September 2024
Value Square Fund Equity World A Cap;BE6294297641;;Active fund;September 2017;September 2024
C+F World Equities C Cap;BE6295855702;;Active fund;June 2017;September 2024
C+F - World Equities D Cap;BE6295857724;;Active fund;February 2020;September 2024
Belfius Managed Portfolio Equities World M Cap;BE6297977587;;Active fund;January 2018;July 2024
Horizon KBC Dynamic Tolerant Responsible Investing Classic;BE6307334068;;Active fund;February 2019;September 2024
PTAM Global Allocation R;DE000A1JCWX9;;Active fund;October 2011;September 2024
JPMorgan Global Research Enhanced Index Equity (ESG) UCITS ETF USD (acc);IE00BF4G6Y48;;Active fund;October 2018;September 2024
Vanguard LifeStrategy 20% Equity UCITS ETF Accumulating;IE00BMVB5K07;V20A, VNGA20;Active fund;December 2020;September 2024
Vanguard LifeStrategy 40% Equity UCITS ETF Accumulating;IE00BMVB5M21;V40A, VNGA40;Active fund;December 2020;September 2024
Vanguard LifeStrategy 60% Equity UCITS ETF Accumulating;IE00BMVB5P51;V60A, VNGA60;Active fund;December 2020;September 2024
Vanguard LifeStrategy 80% Equity UCITS ETF Accumulating;IE00BMVB5R75;V80A, VNGA80;Active fund;December 2020;September 2024
DP Global Strategy L - Medium B;LU0034463017;;Active fund;January 1991;September 2024
DP Global Strategy L - High B;LU0035601805;;Active fund;April 1991;September 2024
Eurizon Fund - Equity Emerging Markets Smart Volatility Class Unit R EUR Accumulation;LU0090981274;;Active fund;November 1998;September 2024
Eurizon Fund - Equity World Smart Volatility Class Unit R EUR Accumulation;LU0114064917;;Active fund;July 2000;September 2024
Fidelity Funds - Global Technology Fund E-Acc-EUR;LU0115773425;;Active fund;September 2000;September 2024
Indépendance et Expansion SICAV - France Small A (C);LU0131510165;;Active fund;February 1999;September 2024
JPMorgan Funds - Global Focus Fund A (dist) - EUR;LU0168341575;;Active fund;May 2003;September 2024
Schroder International Selection Fund - Emerging Asia A;LU0248172537;;Active fund;March 2006;September 2024
Franklin Technology Fund A (Acc) EUR;LU0260870158;;Active fund;September 2006;September 2024
Universal Invest High D;LU0266643146;;Active fund;June 1997;September 2024
Fidelity Funds - Global Technology Fund Y-Acc-EUR;LU0346389348;;Active fund;March 2008;September 2024
MercLin Global Equity C;LU0379615668;;Active fund;August 2008;September 2024
Pictet-Global Megatrend Selection R EUR;LU0391944815;;Active fund;November 2008;September 2024
Xtrackers Portfolio UCITS ETF 1C;LU0397221945;;Active fund;January 2009;September 2024
Man AHL Trend Alternative DNY H EUR Acc;LU0424370004;;Active fund;July 2009;September 2024
Argenta Portfolio Dynamic R Cap;LU0476180459;;Active fund;March 2010;September 2024
Amundi Funds - Volatility World A EUR (C);LU0557872479;;Active fund;June 2011;September 2024
BlackRock Global Funds - European Equity Income Fund A2;LU0562822386;;Active fund;December 2010;September 2024
ING Multi-Strategy Pure Equity RP Cap;LU0607225017;;Active fund;September 2012;September 2024
ABN AMRO Funds - Global ESG Equities A EUR Capitalisation;LU0756526744;;Active fund;March 2013;September 2024
BNP Paribas Comfort Sustainable Equity World Plus;LU1040910678;;Active fund;June 2014;September 2024
Lyxor Smart Overnight Return UCITS ETF C-EUR;LU1190417599;;Active fund;July 2015;September 2024
Argenta Portfolio Dynamic R Dis;LU1243878250;;Active fund;April 2016;September 2024
Econopolis Sustainable Equities Fund;LU1248447622;;Active fund;August 2015;September 2024
Allianz Global Investors Fund - Allianz Thematica A EUR;LU1479563717;;Active fund;December 2016;September 2024
Allianz Global Investors Fund - Allianz Global Artificial Intelligence AT (H2-EUR);LU1548497772;;Active fund;March 2017;September 2024
Argenta-Fund Longer Life Dynamic R Cap;LU1600559873;;Active fund;June 2017;January 2024
FFPB MultiTrend Flex;LU1651191345;;Active fund;November 2017;September 2024
ING ARIA - ING Global Index Portfolio Active A;LU1693143494;;Active fund;October 2017;September 2024
CT (Lux) - Pan European Smaller Companies 1E (EUR Accumulation Shares);LU1829329819;;Active fund;August 2018;September 2024
Kempen (Lux) Global Sustainable Equity Fund;LU1857108150;;Active fund;October 2013;September 2024
CT (Lux) - European Smaller Companies 1E (EUR Accumulation);LU1864952335;;Active fund;November 1997;September 2024
DWS Invest Enhanced Commodity Strategy LC;LU1881477043;;Active fund;May 2019;September 2024
Eurizon Fund - Sustainable Multiasset Class R EUR Accumulation;LU2215042750;;Active fund;May 2021;September 2024
Argenta Portfolio Dynamic Growth R Cap;LU2355196820;;Active fund;September 2021;September 2024
Hoofbosch Beleggingsfonds;NL0006327413;;Active fund;January 2020;February 2024
Rolinco N.V. EUR G;NL0010510798;;Active fund;February 1999;September 2024
Goldman Sachs Global Fund;NL0010623286;;Active fund;May 2014;September 2024
